year,landfill,incineration,recycling
1996,29066.0,2148.9,11008.2
1997,25986.4,2684.2,11659.8
1998,21825.6,3310.9,13028.7
1999,20402.4,3936.5,14330.1
2000,18956.3,4730.7,15697.2
2001,17557.5,5908.5,17302.2
2002,17508.0,6619.1,18655.8
2003,17205.8,6761.6,18950.7
2004,14954.6,6524.4,20099.0
2005,11139.4,6933.7,22493.4
2006,10334.0,7500.7,22820.9
2007,9352.3,8514.1,24690.5
2008,8503.5,8739.8,25025.6
2009,7544.1,9123.0,25418.7
2010,6989.8,9629.9,24300.7
2011,6684.3,10671.5,23585.9
2012,6505.0,11111.2,24028.0
2013,6433.2,11033.2,23076.3
2014,6271.7,11530.6,24552.9
2015,5953.2,12074.9,25383.1
2016,6465.5,12389.0,26605.8
2017,6229.1,12016.7,26763.1
2018,6545.2,12429.3,27774.8
2019,6601.341455404738,13856.613071175252,28689.10964483206
2020,6555.766356237585,14365.588630893535,29210.212655093306
2021,6511.995011799149,14874.560162667534,29622.743986401358
2022,6469.815621077774,15383.53185457296,29982.16526338762
2023,6429.180909650522,15892.503540112342,30276.450314097092
2024,6390.033507547867,16401.475225904807,30527.248690497585
2025,6352.319036803078,16910.44691168721,30735.518710277032
2026,6315.985042574927,17419.418597470012,30911.38939552226
2027,6280.980995122324,17928.3902832528,31058.30341681665
2028,6247.25821388025,18437.361969035588,31181.88865860023
2029,6214.769800185458,18946.333654818376,31285.38127434133
2030,6183.470572021796,19455.305340601164,31372.301073764265
2031,6153.317001187477,19964.277026383952,31445.164499201048
2032,6124.267152759715,20473.24871216674,31506.3191181301
2033,6096.280626775352,20982.220397949528,31557.606112220285
2034,6069.318502046162,21491.192083732316,31600.6395462441
2035,6043.343282030696,22000.163769515104,31636.735798077483
2036,6018.318842687404,22509.135455297892,31667.019599110936
