시도별(1),시도별(2),시도별(3),종이류,플라스틱류,유리류,종이류,유리병류,플라스틱류
합계,발생량,소계,4980.5,3546.9,500.9,3877.8,1491.7,1082.1
합계,처리량,매립,1060,818.2,313.2,0,0,0
합계,처리량,소 각,3514.5,2253,151.1,0,0,0
합계,처리량,재활용,406,475.7,36.6,3877.8,1491.7,1082.1
서울,발생량,소계,894.9,451.8,28.1,1167.1,399.7,319.3
서울,처리량,매 립,199.4,90.7,13.3,0,0,0
서울,처리량,소 각,695.5,361.1,14.8,0,0,0
서울,처리량,재활용,0,0,0,1167.1,399.7,319.3
부산,발생량,소계,208.8,279,2.2,518.8,219.1,87.9
부산,처리량,매 립,8.9,73.5,1.2,0,0,0
부산,처리량,소 각,134.3,53.6,0.4,0,0,0
부산,처리량,재활용,65.6,151.9,0.6,518.8,219.1,87.9
대구,발생량,소계,239.5,214.9,25,176.9,94.9,63.2
대구,처리량,매 립,77.3,69.3,8.1,0,0,0
대구,처리량,소 각,52.8,47.4,5.6,0,0,0
대구,처리량,재활용,109.4,98.2,11.3,176.9,94.9,63.2
인천,발생량,소계,180.3,93.2,20,118.8,33.1,38.4
인천,처리량,매 립,26.3,16.1,17.5,0,0,0
인천,처리량,소 각,154,77.1,2.5,0,0,0
인천,처리량,재활용,0,0,0,118.8,33.1,38.4
광주,발생량,소계,146.1,91.9,12,3,18.2,25.9
광주,처리량,매 립,17.7,22.2,3.1,0,0,0
광주,처리량,소 각,0,0,0,0,0,0
광주,처리량,재활용,128.4,69.7,8.9,3,18.2,25.9
대전,발생량,소계,142.9,90,27.9,149.8,77.7,52.9
대전,처리량,매 립,90.6,64,24.4,0,0,0
대전,처리량,소 각,52.3,26,3.5,0,0,0
대전,처리량,재활용,0,0,0,149.8,77.7,52.9
울산,발생량,소계,112.7,71.2,24.3,106.5,51.3,22.4
울산,처리량,매 립,19.9,12.8,18.1,0,0,0
울산,처리량,소 각,92.8,58.4,6.2,0,0,0
울산,처리량,재활용,0,0,0,106.5,51.3,22.4
세종,발생량,소계,31.4,22.9,2.9,0.3,0.7,0.4
세종,처리량,매립,4.6,3.4,0.4,0,0,0
세종,처리량,소각,16.1,11.8,1.5,0,0,0
세종,처리량,재활용,10.7,7.7,1,0.3,0.7,0.4
경기,발생량,소계,1085.6,907.5,97.2,346,311.2,190
경기,처리량,매 립,129.5,102.3,47.6,0,0,0
경기,처리량,소 각,939.6,773.9,47.2,0,0,0
경기,처리량,재활용,16.5,31.3,2.4,346,311.2,190
강원,발생량,소계,188.9,131,28.8,274.2,39.8,29.7
강원,처리량,매 립,58.4,42.5,26.8,0,0,0
강원,처리량,소 각,110.1,73.7,1.5,0,0,0
강원,처리량,재활용,20.4,14.8,0.5,274.2,39.8,29.7
충북,발생량,소계,185.9,157.3,20.3,234.3,18.4,11.6
충북,처리량,매 립,23.9,19.8,5.7,0,0,0
충북,처리량,소 각,161.5,136.7,14.3,0,0,0
충북,처리량,재활용,0.5,0.8,0.3,234.3,18.4,11.6
충남,발생량,소계,247.2,191.9,41.1,133.6,27.6,30.9
충남,처리량,매 립,27.9,23.9,10.9,0,0,0
충남,처리량,소 각,218.2,167.9,29.6,0,0,0
충남,처리량,재활용,1.1,0.1,0.6,133.6,27.6,30.9
전북,발생량,소계,210,148.8,35.4,96.3,24.1,62.5
전북,처리량,매 립,71.4,55.4,34,0,0,0
전북,처리량,소 각,128.3,85.9,1.1,0,0,0
전북,처리량,재활용,10.3,7.5,0.3,96.3,24.1,62.5
전남,발생량,소계,234.8,159.5,31.7,57.1,22.7,27.2
전남,처리량,매 립,124.8,85.6,24.8,0,0,0
전남,처리량,소 각,80.3,43.4,1.6,0,0,0
전남,처리량,재활용,29.7,30.5,5.3,57.1,22.7,27.2
경북,발생량,소계,368.7,243.2,45.4,81.4,34.5,26.4
경북,처리량,매 립,106.9,66.4,30.8,0,0,0
경북,처리량,소 각,255.2,118.4,10.7,0,0,0
경북,처리량,재활용,6.6,58.4,3.9,81.4,34.5,26.4
경남,발생량,소계,406.3,264.6,34.5,265.7,102.3,61.5
경남,처리량,매 립,69.3,59.1,22.4,0,0,0
경남,처리량,소 각,330.2,200.7,10.6,0,0,0
경남,처리량,재활용,6.8,4.8,1.5,265.7,102.3,61.5
제주,발생량,소계,96.5,28.2,24.1,148,16.4,31.9
제주,처리량,매 립,3.2,11.2,24.1,0,0,0
제주,처리량,소 각,93.3,17,0,0,0,0
제주,처리량,재활용,0,0,0,148,16.4,31.9
