행정구역별(시군구),고령가구,단독주택,아파트,연립주택,다세대주택,미취학남,10대남,20대남,30대남,40대남,50대남,미취학여,10대여,20대여,30대여,40대여,50대여,총인구,남자,여자,1인,2인,3인,4인,5인,6인,7인,인구밀도,소상공인사업체수,소상공인종사자,유리병kg
종로구,8079,26058,13725,5069,10831,4243,7638,14779,11021,11516,12301,4095,7112,15393,10824,11858,12729,157967,77147,80820,25326,15957,11241,8286,2228,573,162,"6,817","31,923","60,307",19500
중구,6990,14953,22632,1812,5992,3912,4106,10679,11036,9755,10346,3816,4676,11534,10692,9243,10723,129797,62975,66822,20803,14101,9601,6463,1591,433,110,"13,618","51,237","108,596",11700
용산구,11019,35013,32303,3274,14669,8005,8275,16910,20758,18408,17005,7560,8243,18324,19477,18306,17718,226938,110685,116253,34240,24574,17717,12098,3019,681,171,"11,209","15,630","29,532",7900
성동구,12806,40315,62635,1976,9324,11583,11224,25360,26500,24205,24049,11190,11315,25332,26474,23697,24669,306796,150623,156173,40706,32135,26002,19548,4273,1035,264,"18,771","20,946","44,075",6900
광진구,14132,69001,29976,4047,32760,11706,14841,32173,30494,27608,27745,11085,14478,35578,30636,28174,29809,362304,175762,186542,56337,35093,28596,22354,4947,1079,329,"21,746","19,595","37,337",14000
동대문구,18402,56104,59105,2944,14540,11703,13806,33156,27794,27017,26620,11027,14266,34250,25862,25559,27549,358141,176323,181818,55593,35628,27612,21139,5341,1321,340,"25,630","26,716","50,724",33100
중랑구,20564,67652,50481,4305,28569,13358,15064,27889,31776,30225,33849,12685,14283,27804,29485,29164,35917,391668,193599,198069,49207,42934,34055,25381,6159,1353,355,"22,067","23,941","44,153",32600
성북구,20665,60090,70627,5733,24897,15834,20676,35718,30790,35060,31796,14991,21206,39511,30885,35424,33730,438734,211204,227530,55136,42140,36301,29176,7067,1665,458,"18,218","18,988","35,358",6000
강북구,19812,47995,32677,4656,36339,9579,12295,21089,22304,24509,25063,9104,11804,22162,20291,24029,27211,309138,150028,159110,40872,34781,26543,19222,4748,1077,308,"13,683","15,675","27,723",19200
도봉구,18405,27746,63020,4010,25949,11247,14470,22154,22523,25039,27275,10538,13876,22229,21566,26039,30427,328243,159569,168674,30848,35343,30077,23237,5292,1146,343,"16,531","15,852","26,990",8800
노원구,26922,22640,156631,3370,13861,19345,30847,39983,34604,43544,42210,18315,28769,38053,35053,47605,45185,534096,258737,275359,51280,51939,47672,40995,8517,1542,381,"15,468","21,445","35,564",3500
은평구,23760,45599,51690,5938,65742,16871,20985,30083,34720,37790,35524,15950,19936,31309,34821,38568,39137,462552,223452,239100,48888,50617,40750,31086,7833,1682,482,"16,415","20,712","33,858",3000
서대문구,15457,41326,47391,5056,24688,10438,12899,27280,22524,23600,22903,10123,14200,35285,23004,24059,24781,318874,149438,169436,44795,31734,25206,19423,4641,1082,316,"18,331","15,716","27,033",10900
마포구,15015,39233,64158,2955,30833,13727,14714,28752,31854,30165,25106,13288,14708,34715,34624,31043,26839,368181,174194,193987,56837,38861,29938,22671,5233,1108,292,"16,199","27,080","53,727",21500
양천구,18175,28261,84290,4002,37001,17455,26862,28987,30037,38397,37710,16500,24636,27900,30743,41843,38518,445591,218975,226616,34304,40185,41534,36359,7768,1502,387,"26,894","21,006","37,484",1000
강서구,26044,36509,108059,4601,58484,23567,23747,39169,53138,45681,42287,22512,23060,43262,51526,45418,47282,578539,280629,297910,73011,62155,50204,39017,9061,1807,499,"14,567","29,659","54,588",10300
구로구,19495,32744,74148,6916,24492,16592,16537,28083,37020,37020,36737,16035,15305,28497,34561,33326,37268,433765,217086,216679,44151,41836,34633,27310,6479,1425,401,"21,793","30,456","57,233",3600
금천구,12037,32513,30079,3718,19446,7812,8386,18760,21832,20499,23942,7431,8129,17403,17659,18232,23553,249344,127278,122066,34564,24305,18948,14102,3388,769,222,"19,510","23,686","52,639",12000
영등포구,17453,41225,66872,1394,12429,13933,13054,27312,37667,32788,33890,13489,11705,29279,34219,29524,33569,395286,198031,197255,53477,37774,29904,22271,5038,1086,281,"16,441","31,982","60,800",15300
동작구,18154,57863,58639,5073,31043,13819,15532,34869,33236,30232,28356,13350,14903,35995,32260,29773,31541,397980,193713,204267,56872,39300,32597,25296,5811,1277,342,"25,032","15,673","28,642",10700
관악구,23331,100395,53501,6395,40564,14115,16552,53747,50779,38429,35230,13306,15894,54945,42349,33782,37756,510303,255687,254616,112733,54106,35925,25997,6172,1451,377,"17,587","21,117","37,204",10700
서초구,14938,27244,88070,5101,23439,18313,21568,25302,30408,35924,28998,17222,21122,27783,35008,39262,31106,409491,196064,213427,41137,38475,35620,31029,7112,1598,447,"9,326","31,238","63,142",46900
강남구,20376,37540,115144,5297,26192,18857,28678,32999,38356,43973,37569,17719,26224,35844,44561,49336,38942,507810,243579,264231,62727,50076,43542,36572,8063,1664,439,"13,859","46,104","95,028",37000
송파구,23924,39123,116842,4664,62801,26791,30483,42770,52770,51220,48340,25069,28719,45742,56752,54199,52908,638167,309442,328725,63451,61970,56824,48156,10366,2235,545,"19,883","35,868","69,686",37600
강동구,18166,45816,67644,3424,31149,16151,19721,27830,33007,33238,33547,15092,17437,27015,32540,33404,36353,414231,204752,209479,42126,41450,36503,30197,7084,1468,405,"17,564","24,421","43,298",30500
