1인,2인,3인,4인,5인,6인,7인,유리병kg
25326,15957,11241,8286,2228,573,162,19500
20803,14101,9601,6463,1591,433,110,11700
34240,24574,17717,12098,3019,681,171,7900
40706,32135,26002,19548,4273,1035,264,6900
56337,35093,28596,22354,4947,1079,329,14000
55593,35628,27612,21139,5341,1321,340,33100
49207,42934,34055,25381,6159,1353,355,32600
55136,42140,36301,29176,7067,1665,458,6000
40872,34781,26543,19222,4748,1077,308,19200
30848,35343,30077,23237,5292,1146,343,8800
51280,51939,47672,40995,8517,1542,381,3500
48888,50617,40750,31086,7833,1682,482,3000
44795,31734,25206,19423,4641,1082,316,10900
56837,38861,29938,22671,5233,1108,292,21500
34304,40185,41534,36359,7768,1502,387,1000
73011,62155,50204,39017,9061,1807,499,10300
44151,41836,34633,27310,6479,1425,401,3600
34564,24305,18948,14102,3388,769,222,12000
53477,37774,29904,22271,5038,1086,281,15300
56872,39300,32597,25296,5811,1277,342,10700
112733,54106,35925,25997,6172,1451,377,10700
41137,38475,35620,31029,7112,1598,447,46900
62727,50076,43542,36572,8063,1664,439,37000
63451,61970,56824,48156,10366,2235,545,37600
42126,41450,36503,30197,7084,1468,405,30500
