인구밀도,소상공인사업체수,소상공인종사자,유리병kg
6817,31923,60307,19500
13618,51237,108596,11700
11209,15630,29532,7900
18771,20946,44075,6900
21746,19595,37337,14000
25630,26716,50724,33100
22067,23941,44153,32600
18218,18988,35358,6000
13683,15675,27723,19200
16531,15852,26990,8800
15468,21445,35564,3500
16415,20712,33858,3000
18331,15716,27033,10900
16199,27080,53727,21500
26894,21006,37484,1000
14567,29659,54588,10300
21793,30456,57233,3600
19510,23686,52639,12000
16441,31982,60800,15300
25032,15673,28642,10700
17587,21117,37204,10700
9326,31238,63142,46900
13859,46104,95028,37000
19883,35868,69686,37600
17564,24421,43298,30500
