"시도(1)","시점",총매립 용량 (m³),잔여매립가능량 (m³),연간유지관리비 (백만원)
"합 계","1996",419786811,342874265,106435
"합 계","1997",419412313,328128158,252185
"합 계","1998",408894474,312393491,280081
"합 계","1999",412855968,306383022,272091
"합 계","2000",416174818,295512242,378037
"합 계","2001",367514083,239271273,232344
"합 계","2002",375797098,234141486,195339
"합 계","2003",384401075,230185232,237059
"합 계","2004",381389685,217433427,232706
"합 계","2005",379085092,209586524,221829
"합 계","2006",149256672,67205126,1748708
"합 계","2007",150157492,64010006,659147
"합 계","2008",150853142,64885232,111184
"합 계","2009",397142030,200007449,968802
"합 계","2010",410921688,210159133,576902
"합 계","2011",424340883,215220452,379758
"합 계","2012",426813642,213282573,466558
"합 계","2013",431259526,212886383,426865
"합 계","2014",419447177,195065008,403641
"합 계","2015",481412517,252102551,431789
"합 계","2016",482360247,245323364,795170
"합 계","2017",483414496,238871205,1478493
"합 계","2018",480221830,215640247,817033
