시점,시도(1),총매립 용량 (m³)
2005,서울,240000000
2005,부산,24494000
2005,대구,9224941
2005,인천,18200
2005,광주,2924906
2005,대전,8762000
2005,울산,4904750
2005,경기,6803113
2005,강원,11071900
2005,충북,4232415
2005,충남,5015109
2005,전북,7805129
2005,전남,15214471
2005,경북,12902970
2005,경남,22502275
2005,제주,3208913
2006,서울,0
2006,부산,24494000
2006,대구,9224941
2006,인천,3218200
2006,광주,2924905
2006,대전,8762000
2006,울산,4904750
2006,경기,6803238
2006,강원,14262886
2006,충북,4451857
2006,충남,5484782
2006,전북,8981129
2006,전남,15968275
2006,경북,15225550
2006,경남,21865226
2006,제주,2684933
2007,서울,0
2007,부산,24494000
2007,대구,9224941
2007,인천,3219068
2007,광주,2924905
2007,대전,8762000
2007,울산,4904750
2007,경기,7737446
2007,강원,14864726
2007,충북,3673873
2007,충남,5483325
2007,전북,8746129
2007,전남,15940602
2007,경북,15683949
2007,경남,21828865
2007,제주,2668913
2008,부산,24494000
2008,대구,9224941
2008,인천,3222381
2008,광주,2924905
2008,대전,8762000
2008,울산,5271656
2008,경기,7737446
2008,강원,15114378
2008,충북,5124553
2008,충남,5238912
2008,전북,8737418
2008,전남,16323268
2008,경북,13140423
2008,경남,22850783
2008,제주,2686078
2009,부산,24494000
2009,대구,9224941
2009,인천,249009381
2009,광주,2924906
2009,대전,8762063
2009,울산,5271656
2009,경기,7825446
2009,강원,15203491
2009,충북,5086137
2009,충남,5573405
2009,전북,8894034
2009,전남,16383014
2009,경북,13116275
2009,경남,22678369
2009,제주,2694912
