미취학남,10대남,20대남,30대남,40대남,50대남,미취학여,10대여,20대여,30대여,40대여,50대여,유리병kg
4243,7638,14779,11021,11516,12301,4095,7112,15393,10824,11858,12729,19500
3912,4106,10679,11036,9755,10346,3816,4676,11534,10692,9243,10723,11700
8005,8275,16910,20758,18408,17005,7560,8243,18324,19477,18306,17718,7900
11583,11224,25360,26500,24205,24049,11190,11315,25332,26474,23697,24669,6900
11706,14841,32173,30494,27608,27745,11085,14478,35578,30636,28174,29809,14000
11703,13806,33156,27794,27017,26620,11027,14266,34250,25862,25559,27549,33100
13358,15064,27889,31776,30225,33849,12685,14283,27804,29485,29164,35917,32600
15834,20676,35718,30790,35060,31796,14991,21206,39511,30885,35424,33730,6000
9579,12295,21089,22304,24509,25063,9104,11804,22162,20291,24029,27211,19200
11247,14470,22154,22523,25039,27275,10538,13876,22229,21566,26039,30427,8800
19345,30847,39983,34604,43544,42210,18315,28769,38053,35053,47605,45185,3500
16871,20985,30083,34720,37790,35524,15950,19936,31309,34821,38568,39137,3000
10438,12899,27280,22524,23600,22903,10123,14200,35285,23004,24059,24781,10900
13727,14714,28752,31854,30165,25106,13288,14708,34715,34624,31043,26839,21500
17455,26862,28987,30037,38397,37710,16500,24636,27900,30743,41843,38518,1000
23567,23747,39169,53138,45681,42287,22512,23060,43262,51526,45418,47282,10300
16592,16537,28083,37020,37020,36737,16035,15305,28497,34561,33326,37268,3600
7812,8386,18760,21832,20499,23942,7431,8129,17403,17659,18232,23553,12000
13933,13054,27312,37667,32788,33890,13489,11705,29279,34219,29524,33569,15300
13819,15532,34869,33236,30232,28356,13350,14903,35995,32260,29773,31541,10700
14115,16552,53747,50779,38429,35230,13306,15894,54945,42349,33782,37756,10700
18313,21568,25302,30408,35924,28998,17222,21122,27783,35008,39262,31106,46900
18857,28678,32999,38356,43973,37569,17719,26224,35844,44561,49336,38942,37000
26791,30483,42770,52770,51220,48340,25069,28719,45742,56752,54199,52908,37600
16151,19721,27830,33007,33238,33547,15092,17437,27015,32540,33404,36353,30500
