고령가구,단독주택,아파트,연립주택,다세대주택,유리병kg
8079,26058,13725,5069,10831,19500
6990,14953,22632,1812,5992,11700
11019,35013,32303,3274,14669,7900
12806,40315,62635,1976,9324,6900
14132,69001,29976,4047,32760,14000
18402,56104,59105,2944,14540,33100
20564,67652,50481,4305,28569,32600
20665,60090,70627,5733,24897,6000
19812,47995,32677,4656,36339,19200
18405,27746,63020,4010,25949,8800
26922,22640,156631,3370,13861,3500
23760,45599,51690,5938,65742,3000
15457,41326,47391,5056,24688,10900
15015,39233,64158,2955,30833,21500
18175,28261,84290,4002,37001,1000
26044,36509,108059,4601,58484,10300
19495,32744,74148,6916,24492,3600
12037,32513,30079,3718,19446,12000
17453,41225,66872,1394,12429,15300
18154,57863,58639,5073,31043,10700
23331,100395,53501,6395,40564,10700
14938,27244,88070,5101,23439,46900
20376,37540,115144,5297,26192,37000
23924,39123,116842,4664,62801,37600
18166,45816,67644,3424,31149,30500
