시도별(1),2012,2013,2014,2015,2016,2017,2018
합계,35158,34014,34022,33964,33962,34705,34778
서울,5471,5019,4944,5200,4806,4897,5156
부산,3108,3028,3083,3014,2996,3085,2857
대구,1429,1343,1287,1315,1307,1476,1503
인천,1567,1416,1370,1253,1081,1110,1618
광주,884,893,901,879,734,854,850
대전,934,912,913,912,838,837,934
울산,705,667,687,660,636,625,613
세종,59,61,61,96,136,219,251
경기,8008,7668,7404,7550,7886,7986,7308
강원,1882,1763,1772,1774,1775,1799,1798
충북,1090,1143,1132,974,1335,1235,1159
충남,1396,1391,1763,1598,1610,1660,1611
전북,1783,1841,1953,1927,1881,1904,1944
전남,1727,1778,1746,1764,1800,1781,1846
경북,2537,2548,2528,2253,2348,2427,2413
경남,2219,2161,2088,2391,2378,2395,2447
제주,359,382,390,404,415,415,470
